file,E_label,E_gupta,Fmax_gupta,E_sc,Fmax_sc,Delta_gupta,Delta_sc,E_gupta_aligned,Delta_gupta_aligned,E_sc_aligned,Delta_sc_aligned
21.xyz,-1549.254818,-1.8578700063673066,0.1612091883144407,-4769.283416053526,71.21066575660556,-1547.3969479936327,3220.028598053526,-1551.0688125192144,1.813994519214475,-1551.503479675269,2.2486616752692044
22.xyz,-1547.542917,-1.74967968831469,0.17117838830927065,-4601.423599358086,98.67179428700807,-1545.7932373116853,3053.8806823580862,-1548.9548997744191,1.4119827744191298,-1549.2937429499052,1.7508259499052201
23.xyz,-1551.627313,-1.9474009088427375,0.14539795604691477,-4860.338762065966,133.32128616406294,-1549.6799120911571,3308.711449065966,-1552.81814202672,1.190829026719939,-1552.7021485770078,1.0748355770078888
24.xyz,-1555.721965,-2.055156516892177,0.1657666503988328,-5016.6543541909405,115.48821963800766,-1553.6668084831078,3460.9323891909407,-1554.9235610446037,-0.7984039553962248,-1554.7599150601695,-0.9620499398304219
25.xyz,-1550.854979,-1.870211485454108,0.15976581453579305,-4871.77639532051,81.76578255213155,-1548.9847675145459,3320.9214163205106,-1551.309950639527,0.4549716395270025,-1552.8527156320147,1.9977366320147212
26.xyz,-1554.608889,-2.0279209949695267,0.159064873472667,-4980.580048013172,113.08989694747684,-1552.5809680050306,3425.971159013172,-1554.3914106827253,-0.21747831727475386,-1554.2850264252816,-0.3238625747185324
27.xyz,-1550.854957,-1.8702316202313045,0.15978093471736415,-4871.762228292413,81.9071780718277,-1548.9847253797686,3320.907271292413,-1551.310344049611,0.45538704961109033,-1552.8525291347164,1.9975721347163926
28.xyz,-1554.990032,-2.0485165640684393,0.16763222660078966,-5019.718888611361,110.49924656181678,-1552.9415154359315,3464.728856611361,-1554.7938241037057,-0.19620789629425417,-1554.8002571407715,-0.18977485922846427
29.xyz,-1548.396871,-1.733007644471283,0.13169858989163333,-4694.950214336104,64.84669012519369,-1546.6638633555287,3146.5533433361043,-1548.6291474650006,0.23227646500072296,-1550.5249440794219,2.128073079421938
30.xyz,-1554.661088,-2.0360328670268157,0.1659165840268686,-4965.613814384619,131.2539565213107,-1552.6250551329733,3410.9527263846194,-1554.549907210277,-0.11118078972299372,-1554.0880082422498,-0.5730797577502926
31.xyz,-1549.186521,-1.6863288530155898,0.14181249264144266,-4580.508653008957,52.08235090642544,-1547.5001921469845,3031.3221320089565,-1547.7170982729292,-1.469422727070878,-1549.018414845976,-0.16810615402414442
32.xyz,-1548.886616,-1.6928631031245602,0.09601896261412202,-4612.984830536061,10.40576662634901,-1547.1937528968754,3064.0982145360613,-1547.844769905952,-1.041846094047969,-1549.445937070138,0.5593210701379121
33.xyz,-1548.886606,-1.6926373163280621,0.09618594250682479,-4613.214241006308,10.366707002557423,-1547.193968683672,3064.327635006308,-1547.840358295049,-1.046247704950929,-1549.448957070703,0.5623510707030164
34.xyz,-1551.754481,-1.8537100017846428,0.14238636629217824,-4670.062681550406,152.9633270772615,-1549.9007709982152,3118.3082005504057,-1550.98753087716,-0.766950122839944,-1550.1973201353303,-1.5571608646696404
35.xyz,-1552.632255,-1.953333617825929,0.17586904976398882,-4892.6118867027235,81.2969294319029,-1550.6789213821742,3339.9796317027235,-1552.9340602470972,0.3018052470972634,-1553.1269977765126,0.4947427765125667
36.xyz,-1551.044414,-1.785594435811269,0.14138289212937766,-4547.465416298168,249.67416614675162,-1549.2588195641888,2996.421002298168,-1549.6566320904494,-1.3877819095505401,-1548.5834277530423,-2.4609862469576456
37.xyz,-1545.768118,-1.60144981321971,0.11224520788337787,-4242.2192054697825,289.30186162414816,-1544.1666681867803,2696.4510874697826,-1546.0586607415482,0.2905427415482791,-1544.5651119010154,-1.2030060989845879
38.xyz,-1545.768123,-1.6016699145779323,0.11225860306984459,-4242.101487351225,289.5155933413163,-1544.166453085422,2696.333364351225,-1546.0629612656126,0.2948382656124977,-1544.563562238595,-1.2045607614049914
39.xyz,-1550.21064,-1.8242420477612804,0.1757767329885808,-4569.6993061702215,250.85570880449117,-1548.3863979522387,3019.488666170221,-1550.4117613933997,0.2011213933997169,-1548.8761186660029,-1.3345213339971451
40.xyz,-1550.210638,-1.824277855346759,0.17577256192736906,-4569.647084274533,250.7864592876257,-1548.3863601446533,3019.436446274533,-1550.4124610318947,0.20182303189471895,-1548.8754312076042,-1.3352067923958657
41.xyz,-1553.018359,-2.0065603532239327,0.1561643525354898,-4907.5259818321665,182.74423455562854,-1551.011798646776,3354.507622832167,-1553.974048633738,0.9556896337380749,-1553.3233295989935,0.30497059899357737
42.xyz,-1542.926861,-1.5895052608820865,0.15913903255458095,-4381.165585662721,225.9901648742391,-1541.3373557391178,2838.2387246627213,-1545.8252781073916,2.8984171073916514,-1546.394226963888,3.4673659638881418
43.xyz,-1547.215543,-1.713198153092651,0.14618221455904004,-4518.114964876366,281.3844101003069,-1545.5023448469074,2970.8994218763655,-1548.2420930866888,1.0265500866887578,-1548.197053147794,0.9815101477938697
44.xyz,-1553.551724,-1.9577490248750933,0.16900940769323244,-4835.946382164173,156.24676614986458,-1551.5939749751249,3282.394658164173,-1553.0203321557367,-0.5313918442632257,-1552.381042914264,-1.1706810857358505
45.xyz,-1551.115427,-1.872788810772187,0.16760346916959204,-4612.601127185115,258.1197506475078,-1549.2426381892278,3061.485700185115,-1551.3603085729856,0.2448815729856051,-1549.4408859304256,-1.6745410695743885
46.xyz,-1552.073648,-1.9138542312003735,0.17447857473320835,-4706.430572273789,249.58808911923967,-1550.1597937687998,3154.356924273789,-1552.1626790362216,0.0890310362215132,-1550.6760735698183,-1.3975744301817485
47.xyz,-1551.115428,-1.8728113091712297,0.16762237303123964,-4612.608806315922,258.1274116206466,-1549.2426166908288,3061.493378315922,-1551.3607481654865,0.24532016548641877,-1549.4409870198804,-1.674440980119698
48.xyz,-1552.19035,-1.9734613130444734,0.15519695525746113,-4877.573690295174,136.82478889445318,-1550.2168886869556,3325.383340295174,-1553.3273319576504,1.1369819576502778,-1552.9290322625548,0.7386822625546756
49.xyz,-1547.898428,-1.6296402992634569,0.1025445980373779,-4444.455298940541,217.69520785890273,-1546.2687877007365,2896.556870940541,-1546.6094699895705,-1.2889580104294964,-1547.2273840977452,-0.6710439022547234
50.xyz,-1547.89843,-1.6293534806690475,0.10251797524574166,-4444.437103789435,217.73336314432902,-1546.2690765193308,2896.538673789435,-1546.6038658884543,-1.2945641115456965,-1547.2271445735134,-0.67128542648652
51.xyz,-1549.891524,-1.8859956395452757,0.1761235810831253,-4823.749304944142,116.10161162398344,-1548.0055283604547,3273.857780944142,-1551.61835461781,1.7268306178100374,-1552.2204784027224,2.328954402722502
52.xyz,-1550.892597,-1.9245317671687494,0.16681510582281803,-4872.879518290513,127.90001043422173,-1548.9680652328313,3321.9869212905132,-1552.371305646928,1.4787086469279984,-1552.867237340589,1.974640340589076
53.xyz,-1543.077008,-1.750063154045503,0.1992570241760442,-4579.881895375912,191.31665391215697,-1541.3269448459546,3036.8048873759117,-1548.9623922479616,5.8853842479616105,-1549.0101640961127,5.933156096112725
54.xyz,-1545.136936,-1.7388270020817382,0.14689485617612372,-4488.184021251499,231.09514357374894,-1543.3981089979184,2943.047085251499,-1548.7428509316387,3.6059149316386083,-1547.8030368390982,2.666100839098135
55.xyz,-1551.115344,-1.8728624649726417,0.16762169968109794,-4612.581757382486,258.151144008803,-1549.2424815350273,3061.4664133824863,-1551.3617476902361,0.2464036902360931,-1549.4406309428707,-1.6747130571293383
56.xyz,-1544.882763,-1.7467023504609454,0.14319591319732167,-4520.907052098762,207.5733039273479,-1543.136060649539,2976.0242890987615,-1548.8967260621325,4.013963062132461,-1548.2338086846294,3.351045684629298
57.xyz,-1550.582139,-1.8847599255439238,0.1479748107058465,-4827.103247799221,154.21299075877045,-1548.6973790744562,3276.521108799221,-1551.5942102061529,1.0120712061527684,-1552.264630307851,1.6824913078507961
58.xyz,-1550.892601,-1.9245001042740744,0.16679634794323364,-4872.805180440627,127.89485204315956,-1548.968100895726,3321.912579440627,-1552.3706869908615,1.478085990861473,-1552.8662587438039,1.9736577438038694
59.xyz,-1551.115428,-1.872861071395088,0.16759991296234303,-4612.626293158199,258.22229039506703,-1549.242566928605,3061.5108651581986,-1551.3617204613547,0.246292461354642,-1549.4412172198076,-1.6742107801924249
60.xyz,-1551.115408,-1.8726422847884512,0.16761422601377138,-4612.749641590435,257.9920579380468,-1549.2427657152114,3061.6342335904355,-1551.3574456260044,0.24203762600450318,-1549.4428410006867,-1.672566999313176
61.xyz,-1547.226146,-1.7096681046788174,0.14570401692018167,-4525.328436359749,251.8340150608919,-1545.5164778953213,2978.1022903597486,-1548.17312005411,0.9469740541101146,-1548.2920125798248,1.0658665798248421
62.xyz,-1546.781008,-1.691420252546675,0.12296519826274667,-4512.4202329505715,225.16838616098732,-1545.0895877474532,2965.6392249505716,-1547.8165782869576,1.0355702869576362,-1548.1220866756194,1.3410786756194284
63.xyz,-1546.951625,-1.6024741086716616,0.1413843168678578,-4403.0416819450365,159.44823574362732,-1545.3491508913282,2856.090056945037,-1546.0786742811079,-0.8729507188920707,-1546.6822078178786,-0.2694171821212876
64.xyz,-1550.126944,-1.6942985731863864,0.1128552859751828,-4493.494438346708,218.0697720922844,-1548.4326454268137,2943.367494346708,-1547.8728173182628,-2.2541266817372616,-1547.8729441219327,-2.2539998780673614
65.xyz,-1546.95163,-1.6026339328693393,0.14137249173831962,-4403.125345651727,159.30140944583746,-1545.3489960671307,2856.173715651727,-1546.0817970596936,-0.8698329403064236,-1546.6833091819149,-0.26832081808515795
66.xyz,-1550.241701,-1.7391382752151485,0.12782200948804995,-4660.184769097928,187.54868788003085,-1548.5025627247849,3109.9430680979285,-1548.7489328459512,-1.4927681540486901,-1550.0672855246303,-0.17441547536964208
67.xyz,-1542.676778,-1.4978467544889629,0.1136958788140139,-4266.610107278156,153.1256424981642,-1541.178931245511,2723.9333292781557,-1544.0343776985483,1.3575996985482561,-1544.8861981058722,2.209420105872141
68.xyz,-1547.669236,-1.692340228308336,0.17823269829674526,-4563.363320621867,102.42373644861902,-1545.9768957716917,3015.6940846218677,-1547.8345535413287,0.16531754132870446,-1548.7927106161599,1.1234746161599105
69.xyz,-1551.171414,-1.8847053163532506,0.17360606250839777,-4853.251338465719,103.51902070911605,-1549.2867086836466,3302.0799244657187,-1551.593143206201,0.4217292062010074,-1552.6088484619117,1.4374344619118347
70.xyz,-1551.174891,-1.8846903987458918,0.17354225636325826,-4854.559578736295,98.1997333834181,-1549.290200601254,3303.3846877362957,-1551.592851733536,0.41796073353611973,-1552.62607037141,1.451179371410035
71.xyz,-1547.718672,-1.671308159410691,0.11821592486833234,-4646.504677285411,48.590429478620656,-1546.0473638405892,3098.786005285411,-1547.4236114229172,-0.2950605770827224,-1549.8871983430786,2.168526343078611
72.xyz,-1552.638205,-2.0086976089384327,0.16513659725364213,-4963.665649107303,125.11709765577864,-1550.6295073910615,3411.0274441073025,-1554.0158081199388,1.3776031199388399,-1554.0623622452201,1.424157245220158
73.xyz,-1552.645581,-2.0122941458866035,0.1656376551204155,-4961.473966416441,139.874216625508,-1550.6332868541133,3408.828385416441,-1554.086080261002,1.44049926100206,-1554.0335105412944,1.3879295412943975
74.xyz,-1549.217736,-1.7932103258395304,0.1633337859951834,-4660.691442332629,103.29698863654167,-1547.4245256741606,3111.473706332629,-1549.8054377071026,0.5877017071024966,-1550.0739554619418,0.8562194619416914
75.xyz,-1552.645517,-2.01257380436278,0.16559951390081962,-4961.298989929228,140.25279195114692,-1550.6329431956372,3408.653472929228,-1554.0915444617515,1.4460274617515552,-1554.0312071194421,1.385690119442188
76.xyz,-1547.718682,-1.6715056534285224,0.11821651770234805,-4646.505068848562,48.563949672313704,-1546.0471763465714,3098.786386848562,-1547.4274702258936,-0.29121177410638666,-1549.8872034976862,2.1685214976862426
77.xyz,-1549.852565,-1.8334673732497508,0.13050908912710465,-4842.7829854016145,48.48301623237009,-1548.0190976267502,3292.9304204016144,-1550.5920135035328,0.7394485035329126,-1552.4710411851304,2.6184761851304756
78.xyz,-1530.908363,-1.210002081442443,0.12319586767148007,-3813.0396614201836,175.12114622196543,-1529.6983609185575,2282.1312984201836,-1538.4102282013764,7.501865201376404,-1538.9153154283908,8.006952428390832
79.xyz,-1553.021399,-2.0063945267550833,0.15496044725130353,-4903.117588059912,178.70641298804222,-1551.015004473245,3350.096189059912,-1553.970808577768,0.9494095777679377,-1553.265296712921,0.24389771292112528
80.xyz,-1553.018636,-2.0061201798824393,0.15514422941481415,-4908.63442402211,170.4632064209979,-1551.0125158201176,3355.61578802211,-1553.9654481595621,0.9468121595621142,-1553.3379213307328,0.3192853307327823
81.xyz,-1550.555006,-1.910278362081213,0.15848258129822404,-4722.143453960418,268.34722755155394,-1548.6447276379188,3171.588447960418,-1552.0928107204538,1.537804720453778,-1550.8829207617657,0.327914761765669
82.xyz,-1543.403592,-1.529044004315602,0.13507960537900257,-4386.311225991615,157.53358733075794,-1541.8745479956842,2842.9076339916155,-1544.6439356072237,1.2403436072238492,-1546.4619650958252,3.0583730958253454
83.xyz,-1543.403591,-1.5288932223207912,0.1350671762752779,-4386.260818204546,157.5542859153644,-1541.874697777679,2842.857227204546,-1544.6409895027455,1.2373985027454637,-1546.4613015186778,3.0577105186778226
84.xyz,-1549.369602,-1.8332247974689653,0.15110319796452518,-4892.5591591541615,17.927967308376385,-1547.536377202531,3343.189557154162,-1550.5872738554403,1.2176718554403578,-1553.126303661609,3.756701661608986
85.xyz,-1549.369581,-1.8335540279625473,0.1509873482792113,-4892.483060532342,18.16889200609689,-1547.5360269720375,3343.1134795323424,-1550.5937066356455,1.2241256356455779,-1553.1253018857064,3.7557208857065234
86.xyz,-1551.956607,-1.9254968460323434,0.15826001277390775,-4884.788782471545,120.96545796565421,-1550.0311101539678,3332.8321754715453,-1552.3901621633538,0.4335551633537307,-1553.0240130296786,1.0674060296785228
87.xyz,-1549.369596,-1.83310612918097,0.15118159967724853,-4892.592412112963,17.834946471039284,-1547.536489870819,3343.222816112963,-1550.5849552153725,1.215359215372473,-1553.1267414095212,3.757145409521172
88.xyz,-1549.233864,-1.795621679943202,0.16329235555741622,-4662.1509982669095,106.47121990434037,-1547.4382423200568,3112.9171342669097,-1549.8525527564314,0.618688756431311,-1550.0931693179687,0.8593053179686194
89.xyz,-1545.073652,-1.6481663894487837,0.1090911692758517,-4655.507957960606,144.20347670031254,-1543.4254856105513,3110.4343059606063,-1546.9714482040624,1.897796204062388,-1550.0057191442352,4.932067144235134
90.xyz,-1545.073653,-1.6481634916099352,0.10910346626191267,-4655.52358712237,144.1764359374285,-1543.42548950839,3110.4499341223705,-1546.971391583668,1.897738583668115,-1550.005924889323,4.932271889323147
91.xyz,-1545.073652,-1.6482263330788796,0.10912153321845311,-4655.555569036597,144.13147024016888,-1543.4254256669212,3110.481917036597,-1546.9726194327445,1.8989674327444845,-1550.0063459049766,4.9326939049765315
92.xyz,-1545.073653,-1.6482283955606991,0.10911549011735669,-4655.560218764665,144.12585905937246,-1543.4254246044393,3110.4865657646646,-1546.972659731236,1.8990067312361134,-1550.0064071148304,4.932754114830459
93.xyz,-1553.349893,-1.997952692152904,0.16280424139435554,-4922.781330402649,127.94348036497948,-1551.3519403078471,3369.4314374026485,-1553.8058649665816,0.45597196658150096,-1553.524153742961,0.17426074296099614
94.xyz,-1552.465157,-1.9791429785977268,0.15698127612642598,-4915.44963674308,108.3215655753296,-1550.4860140214023,3362.98447974308,-1553.438345081938,0.9731880819379057,-1553.427638013005,0.96248101300489
95.xyz,-1553.335312,-1.9387117366559665,0.1656693292667896,-4871.249553640568,154.9261954379917,-1551.396600263344,3317.9142416405675,-1552.6483657273434,-0.6869462726565416,-1552.8457801936736,-0.4895318063263403
96.xyz,-1546.665503,-1.6637637852943052,0.1281954133061579,-4533.731200727219,183.78480797637226,-1545.0017392147056,2987.0656977272192,-1547.2762031438476,0.61070014384768,-1548.4026280766298,1.737125076629809
97.xyz,-1552.886527,-1.983830074035061,0.16127829014206335,-4897.895809447851,139.6626911157524,-1550.9026969259648,3345.0092824478515,-1553.5299254650943,0.6433984650943785,-1553.196556282972,0.31002928297220933
98.xyz,-1553.335317,-1.9389088671315793,0.1656975958732864,-4871.280585888965,154.80057105451957,-1551.3964081328684,3317.945268888965,-1552.6522174271286,-0.6830995728714697,-1552.8461887077558,-0.4891282922442315
99.xyz,-1546.665516,-1.6639389208796187,0.12816769338673648,-4533.757537604199,184.11602986729395,-1545.0015770791204,2987.0920216041986,-1547.279625089106,0.614109089106023,-1548.4029747800007,1.7374587800006793
100.xyz,-1552.217633,-1.9363636788574998,0.1616390095192134,-4860.946165884872,112.11507386140804,-1550.2812693211424,3308.728532884872,-1552.6024874140614,0.3848544140614649,-1552.7101445497915,0.4925115497915158
101.xyz,-1552.886542,-1.9839369439872032,0.16131869980169306,-4897.844975599437,139.5482710630084,-1550.9026050560128,3344.958433599437,-1553.5320135794277,0.645471579427749,-1553.1958870970768,0.3093450970768572
102.xyz,-1544.625769,-1.7243180563135982,0.16162917949470929,-4619.756762054105,40.366465793705856,-1542.9014509436863,3075.1309930541047,-1548.4593630380373,3.8335940380372904,-1549.535083990894,4.909314990894018
103.xyz,-1548.519202,-1.6886336875486851,0.14788631897946206,-4511.022562116699,107.38932883444095,-1546.8305683124513,2962.5033601166992,-1547.7621320539722,-0.757069946027741,-1548.1036874861506,-0.4155145138493026
104.xyz,-1550.422329,-1.7201485891394375,0.1280730145487172,-4580.926775172325,127.68643659397675,-1548.7021804108606,3030.5044461723246,-1548.3778965079714,-2.044432492028591,-1549.0239190811067,-1.3984099188933214
105.xyz,-1551.619445,-1.7907416880379878,0.14700404885796747,-4612.236006725063,105.1949522454036,-1549.828703311962,3060.6165617250626,-1549.7572034010675,-1.8622415989325418,-1549.436079419221,-2.183365580779082
106.xyz,-1550.422336,-1.7201476608945814,0.12806665305769724,-4580.921396026022,127.79963809318045,-1548.7021883391055,3030.499060026022,-1548.3778783711487,-2.0444576288514327,-1549.0238482690602,-1.3984877309399053
107.xyz,-1549.506412,-1.7695445534680037,0.14409581141773967,-4653.644885707564,28.327861117118616,-1547.736867446532,3104.138473707564,-1549.3430360917632,-0.16337590823673054,-1549.9811933270348,0.47478132703486153
108.xyz,-1550.116729,-1.7344702452705283,0.14470615583802493,-4622.56490221143,85.23335258821369,-1548.3822587547295,3072.44817321143,-1548.6577249803063,-1.4590040196937935,-1549.5720508514432,-0.5446781485568408
109.xyz,-1546.356808,-1.6206262482009488,0.14989380295165208,-4494.46226140012,87.99903703185966,-1544.736181751799,2948.10545340012,-1546.433345935531,0.07653793553095056,-1547.885684718145,1.5288767181450567
110.xyz,-1549.161931,-1.6798080952135919,0.1414958868216547,-4572.921048521569,46.71810317070219,-1547.4821229047866,3023.759117521569,-1547.5896902638626,-1.5722407361374735,-1548.9185302599958,-0.24340074000429013
111.xyz,-1555.687918,-2.11559918713202,0.15367919965705,-5070.371962212883,129.29682863021637,-1553.5723188128682,3514.684044212883,-1556.1045403896069,0.4166223896068004,-1555.467063284096,-0.22085471590412453
112.xyz,-1550.2891,-1.82710826695746,0.15083840717655236,-4821.420479253376,47.09595250340471,-1548.4619917330424,3271.1313792533756,-1550.4677639765998,0.17866397659986433,-1552.189821323755,1.9007213237550786
113.xyz,-1555.23919,-2.0055214087312367,0.14223801186022714,-4997.055841362988,78.9953495555706,-1553.2336685912687,3441.8166513629876,-1553.9537488689923,-1.2854411310077012,-1554.5019167231583,-0.7372732768417336
114.xyz,-1555.239197,-2.0057501503249022,0.14224125698025328,-4996.923392949476,79.08770160949307,-1553.2334468496751,3441.684195949476,-1553.9582182131887,-1.2809787868113744,-1554.500173148494,-0.7390238515060901
115.xyz,-1555.19279,-2.0168339060260654,0.14652547667938456,-4995.178519595738,90.83357363234789,-1553.175956093974,3439.985729595738,-1554.1747818841218,-1.0180081158782741,-1554.4772033227978,-0.7155866772022819
116.xyz,-1548.984913,-1.8776766210229123,0.15887851943105136,-4755.182792661764,171.10403531113934,-1547.1072363789772,3206.197879661764,-1551.4558106897105,2.470897689710455,-1551.317856540604,2.332943540603992
117.xyz,-1547.451362,-1.7659346295298863,0.1259575332079939,-4566.145042107366,141.74908663190428,-1545.68542737047,3018.693680107366,-1549.2725023845157,1.8211403845157292,-1548.829329696576,1.377967696575979
118.xyz,-1554.413958,-2.0400778439933824,0.1646699318641168,-5004.5349011820435,79.84672725959773,-1552.3738801560066,3450.1209431820434,-1554.62894134675,0.21498334674993202,-1554.6003724076616,0.18641440766145934
119.xyz,-1548.942856,-1.8195049376381,0.11937763074090778,-4787.60758034376,102.832112799616,-1547.1233510623617,3238.66472434376,-1550.3192037815622,1.3763477815623446,-1551.7447022596307,2.8018462596307927
120.xyz,-1550.896967,-1.924242893138001,0.17746327065626963,-4849.236356574136,77.5256913281957,-1548.972724106862,3298.3393895741365,-1552.3656613849807,1.4686943849808358,-1552.555994520378,1.6590275203780038
121.xyz,-1553.507074,-1.9922955235570354,0.1567755827295099,-4939.621801408886,128.31157114669367,-1551.514778476443,3386.114727408886,-1553.695330484296,0.18825648429583453,-1553.745844722896,0.23877072289587886
122.xyz,-1552.581328,-1.9221487340739207,0.17052135852219072,-4832.071090480433,131.52668019479094,-1550.659179265926,3279.4897624804325,-1552.3247439571103,-0.25658404288969905,-1552.3300278796737,-0.25130012032627747
123.xyz,-1546.819741,-1.6895695985278223,0.1473309058836095,-4575.359216544635,32.08493535738035,-1545.1301714014721,3028.539475544635,-1547.7804186639241,0.9606776639241161,-1548.9506267410313,2.1308857410313067
124.xyz,-1546.717161,-1.6259652856566382,0.11716195802817206,-4509.531760779726,84.99189981471305,-1545.0911957143435,2962.814599779726,-1546.5376645060433,-0.17949649395677625,-1548.08406231004,1.3669013100400207
125.xyz,-1545.073909,-1.6541389186072097,0.13317541488846418,-4476.045697979343,117.06816298699663,-1543.4197700813927,2930.971788979343,-1547.088144464263,2.014235464263038,-1547.6432457750614,2.5693367750614016
126.xyz,-1546.874346,-1.6751693233687484,0.1414019184540784,-4537.69574195423,51.042667803247596,-1545.1991766766314,2990.8213959542295,-1547.4990540673941,0.6247080673940673,-1548.4548180082109,1.5804720082107906
127.xyz,-1546.662154,-1.577266354322517,0.14756534980410743,-4415.245629047754,68.7630619742657,-1545.0848876456776,2868.583475047754,-1545.5861441347374,-1.0760098652626766,-1546.842862765788,0.1807087657878128
128.xyz,-1551.041262,-1.8517010752187615,0.1322108391336666,-4764.149164301669,111.5106703449349,-1549.1895609247813,3213.107902301669,-1550.9482787929865,-0.09298320701350349,-1551.435891464602,0.39462946460207604
129.xyz,-1552.849328,-1.8971435998985948,0.130195064468233,-4814.814512152762,121.77332050137662,-1550.9521844001015,3261.965184152762,-1551.8361727728309,-1.0131552271691362,-1552.1028591883487,-0.7464688116513116
130.xyz,-1548.496892,-1.772952017911979,0.11099279160750535,-4709.870121374093,88.48709063738046,-1546.7239399820878,3161.373229374093,-1549.4096139764133,0.9127219764134225,-1550.7213524109088,2.2244604109089323
